0,1,2,3,4,5,6,7,8,9,10,11,12,label
-380.31192,100.84133,-5.317724,24.445179,3.2121208,14.239239,-9.357768,5.227134,6.5561914,-2.5548348,-2.3243744,6.9655857,3.1448255,wav_headMic_F03S01
-382.0595,114.23607,-10.134163,3.2916317,7.062518,21.453922,-14.517354,6.3242927,11.311362,0.66935277,4.7588005,8.767061,-5.421213,wav_headMic_F03S01
-424.80365,97.62493,8.234658,14.957313,9.196301,16.432865,1.2731901,12.955659,5.1525846,4.20143,2.7890196,11.279221,2.5390713,wav_headMic_F03S01
-342.99228,99.77978,4.4295335,21.194563,-2.1157994,14.968685,-15.1928835,7.2439404,-3.7593632,1.713084,-0.25137484,6.3125405,-3.1290014,wav_headMic_F03S01
-355.0281,104.40724,12.7378845,20.195625,-2.8543775,2.467404,-18.846893,19.242502,-7.9061728,-2.1100771,4.8727574,3.3255963,-2.3147993,wav_headMic_F03S01
-328.17984,100.93088,6.257886,12.449467,-8.749772,17.007782,-20.278017,7.7169895,-3.5486932,0.88552624,4.0518594,10.249017,-6.3957295,wav_headMic_F03S01
-384.95932,103.10276,-8.423242,9.346783,3.8347409,21.23189,-10.886601,13.507882,9.5842,3.6517954,-3.5254502,10.045019,-1.4758,wav_headMic_F03S01
-353.57245,110.89233,0.37139538,13.818887,-3.36443,9.719445,-10.821033,10.950073,-10.520504,1.9759849,1.5233217,3.6370435,3.5964506,wav_headMic_F03S01
-365.8634,70.4805,-2.4668655,22.418892,5.257909,7.9844327,-7.4621673,13.055111,4.7394357,5.2468047,3.09017,12.669474,2.0197852,wav_headMic_F03S01
-334.098,100.518005,-16.345806,22.737299,8.261346,9.394263,-8.93977,-6.6232777,-8.637736,5.2963734,-6.6851597,11.146184,4.785175,wav_headMic_F03S01
-351.63464,121.73747,1.6416068,11.480426,1.0870082,7.7215095,-21.611687,6.359188,-6.9239054,1.3981173,0.95199054,7.0781107,1.25951,wav_headMic_F03S01
-348.39603,96.878105,8.818902,11.9277,-2.985675,17.295574,-18.190199,8.678851,-1.2954804,0.32729095,1.640154,7.4325995,0.6537609,wav_headMic_F03S01
-419.3878,106.91749,12.968793,14.846284,9.898975,20.827969,5.063527,24.079628,4.9612665,7.4685926,8.402188,9.18341,5.8552513,wav_headMic_F03S01
-338.24982,99.13569,-0.15899256,15.404419,-14.079945,19.247383,-13.027268,-0.17316,3.9899166,3.9864726,-0.16713709,9.072484,-0.80484664,wav_headMic_F03S01
-379.145,100.33715,-0.3065014,6.8054166,-0.9091716,22.413605,-6.415899,7.3418984,0.3881855,5.3211684,1.7605164,8.901183,0.7439566,wav_headMic_F03S01
-429.04227,94.25067,1.8689547,17.341501,9.56315,18.375336,0.99824524,12.944251,5.8324566,2.7479105,0.42629343,12.176795,4.8735056,wav_headMic_F03S01
-468.78284,88.84635,11.892071,12.611852,13.402801,18.559763,8.734248,15.58426,7.5049806,5.6188974,3.8493478,10.844126,2.7809477,wav_headMic_F03S01
-405.06714,103.75604,-7.7877026,17.043196,11.239689,7.5754247,-7.326397,16.210407,6.216513,2.663863,4.1593313,6.515988,3.4424622,wav_headMic_F03S01
-370.20233,67.961105,41.25687,37.295486,-1.0445913,-9.409283,7.878862,-5.521481,-24.457073,11.454374,-6.460499,-2.5286202,6.5288053,wav_headMic_F03S01
-431.09955,95.300575,11.488496,14.710241,9.913426,13.213245,-1.4986945,12.888453,7.330239,0.96101874,6.392401,10.084492,2.671873,wav_headMic_F03S01
-369.31143,100.145836,-2.5373523,13.784078,-1.2726561,14.104626,-12.30515,11.729161,3.0415263,2.2833145,1.7486407,6.833563,0.3373281,wav_headMic_F03S01
-309.08704,114.45759,0.8077081,28.055464,-6.1259575,18.120592,-24.242409,11.895967,5.636945,-0.5168483,5.769185,13.449772,-4.311447,wav_headMic_F03S01
-420.4311,97.14599,9.372298,19.718554,3.8992906,16.934444,-6.3048043,9.902059,1.9574629,0.61857307,4.6620994,9.565924,3.0808976,wav_headMic_F03S01
-301.32343,109.4275,-7.9697785,18.074236,-17.458504,11.667547,-24.232607,8.966052,1.4650767,-4.654583,0.3490435,8.7459,-1.7616376,wav_headMic_F03S01
-418.21393,86.97315,5.895573,12.221588,7.678493,24.291487,0.6197547,11.462494,3.200202,6.2151594,-1.8507822,9.181278,2.8762267,wav_headMic_F03S01
-409.48764,83.74703,14.811911,23.929537,10.463667,23.620098,-8.165214,7.55832,4.946878,0.90787286,-1.7107757,14.042596,-0.41424978,wav_headMic_F03S01
-408.40875,94.04929,-7.032709,14.885814,2.26724,21.020502,2.2865555,13.463427,6.7987623,1.2782469,3.2235525,9.31946,-0.3412219,wav_headMic_F03S01
-368.36288,100.3244,-4.9936633,10.411647,3.326437,15.471893,-10.576249,11.549079,-0.61777824,2.5064247,0.9765103,8.041218,0.3889636,wav_headMic_F03S01
-395.18982,100.91576,-7.0945516,23.952171,4.7142606,19.310968,3.0878918,16.981424,8.178221,4.652883,3.804328,10.974224,4.410911,wav_headMic_F03S01
-407.42294,91.52553,10.760887,23.149725,10.899094,9.8353,-0.7548841,10.880167,-2.4425495,0.016848512,-0.62147987,4.453273,1.826791,wav_headMic_F03S01
-416.7079,90.71211,5.9403477,18.850788,4.9656024,16.583918,-4.238969,7.660282,3.9299932,1.4217132,-1.2660545,12.299002,2.6310565,wav_headMic_F03S01
-387.32718,74.621704,14.072379,24.884134,3.013441,18.731667,-10.18501,15.561666,-2.6937075,2.2340395,0.5096925,10.435726,1.6731352,wav_headMic_F03S01
-395.30917,106.33783,-0.4848201,6.7338047,-2.0725195,16.753942,-5.9011745,11.968667,3.077907,1.4821807,3.85722,11.358336,-0.30628324,wav_headMic_F03S01
-416.657,110.65844,5.4116893,9.565033,3.8946555,17.323698,0.8552709,12.508692,2.4609237,5.701431,-2.3656325,6.979773,6.743115,wav_headMic_F03S01
-367.78183,109.24369,-12.234129,13.839057,-6.412135,15.32364,-1.0888373,13.982845,3.4922497,2.9166358,-0.040192712,9.5113945,-2.862098,wav_headMic_F03S01
-402.76044,108.92371,-2.2025435,11.77834,9.273487,19.20965,-3.5080159,-2.377853,-0.73610485,1.2082815,5.856562,9.521737,-0.52073234,wav_headMic_F03S01
-403.84485,86.05442,7.9634986,29.654755,8.569218,11.620725,-6.4274282,12.483583,-0.6076751,-4.1845446,2.8358395,7.868327,0.29488888,wav_headMic_F03S01
-400.60788,102.94023,-6.0894027,6.2484703,0.9779404,19.355051,-3.247203,14.890647,9.405729,3.3843915,2.1977468,8.277029,2.5767887,wav_headMic_F03S01
-417.6989,92.22886,7.108935,6.4280515,8.558224,11.248999,5.069559,9.479369,5.443617,1.4895477,3.6086636,9.116807,3.6963513,wav_headMic_F03S01
-378.03198,96.52751,2.1369479,31.218596,5.303784,11.826644,-10.845211,6.429721,-0.735981,-0.8403645,2.4097767,10.592585,3.60391,wav_headMic_F03S01
-420.4768,92.88787,-0.39019868,17.516876,3.0499966,22.838957,4.04608,11.236178,3.3800879,3.913934,0.7752259,8.266868,4.973269,wav_headMic_F03S01
-396.88116,115.34015,12.672285,4.285769,3.7794518,6.474319,-14.350872,18.538704,-1.6293368,2.038117,4.5968723,3.7517295,0.46048248,wav_headMic_F03S01
-384.79297,92.84451,-1.8275344,27.785343,6.3037095,11.912878,-11.9445095,9.353183,2.285395,1.138378,0.4529157,8.742783,0.58276385,wav_headMic_F03S01
-412.46582,60.5148,23.355804,2.715321,18.025639,12.936506,2.3165698,14.563955,5.117464,9.393035,2.8058262,12.384078,3.8720973,wav_headMic_F03S01
-402.93567,103.40113,-2.101462,11.440792,1.8286831,21.889719,0.5989711,6.322585,6.434462,3.948983,-1.2897114,12.434455,3.3178341,wav_headMic_F03S01
-401.63922,108.67021,-5.9483023,12.342557,8.686996,16.380972,-6.9551926,12.77206,3.9650953,0.5173699,0.9033945,8.531237,4.0577993,wav_headMic_F03S01
-365.7023,96.17013,1.814133,3.5322902,4.623928,11.412179,-6.791719,9.344401,4.555986,2.3130488,2.689627,4.4374824,1.8904846,wav_headMic_F03S01
-406.51672,99.29263,-0.23552841,14.359236,1.806042,21.394442,-4.385795,16.472363,8.990341,5.2950196,5.8297977,7.482376,5.4665694,wav_headMic_F03S01
-414.5317,91.596176,2.9053411,24.812666,5.708666,15.565689,2.9160922,7.6117167,3.858766,1.70178,0.14579302,14.401333,2.433349,wav_headMic_F03S01
-404.3961,88.78533,20.046549,28.223625,-5.437449,15.671943,-7.9173093,10.242856,-3.785855,-1.245558,5.079602,12.632732,3.2760742,wav_headMic_F03S01
-383.1505,101.608604,4.4413843,24.964474,5.072777,13.834369,-14.580677,12.91987,-0.31441194,-9.6292,2.83635,14.429265,-3.077268,wav_headMic_F03S01
-325.05783,120.65307,-12.091373,16.284773,3.1292415,3.0349584,-19.741234,5.161358,-7.1735077,0.81667626,-0.62378114,8.004165,2.0840971,wav_headMic_F03S01
-344.12326,99.42162,7.108928,0.4075324,6.7576194,6.8612275,-18.68613,10.051072,1.0956011,1.5764196,4.5565143,4.146188,-0.20062186,wav_headMic_F03S01
-399.19998,107.675224,2.1426237,15.702874,7.3230667,12.992895,-9.137482,6.526323,1.0214003,2.7724736,2.588711,7.96138,8.110896,wav_headMic_F03S01
-416.11337,97.00626,-2.3729606,19.194613,11.712601,19.044252,0.082177676,14.513944,11.897442,5.3557773,3.0819051,13.228171,5.656901,wav_headMic_F03S01
-426.3292,104.30301,6.2946506,17.590155,13.267861,14.168844,-2.2418084,12.654533,4.0632753,4.0155687,3.1868916,9.809011,3.117303,wav_headMic_F03S01
